Protein_CD8,Intensity_CD8,Protein_CD4,Intensity_CD4,Protein_Platelet,Intensity_Platelet,Protein_NK,Intensity_NK,Protein_Monocyte,Intensity_Monocyte,Protein_Erythrocyte,Intensity_Erythrocyte,Protein_B cell,Intensity_B cell,Protein_Macrophage,Intensity_Macrophage,Protein_DC,Intensity_DC,Protein_Basophil,Intensity_Basophil,Protein_Eosinophil,Intensity_Eosinophil,Protein_Neutrophil,Intensity_Neutrophil
Q6GMV2,0.22207878,Q96HY7,6.39E-05,A0A0C4DH43,0.000128316,Q8N5M1,0.0000714,Q8N5H3,0.00000209,,,Q8IX19,0.000862135,P63208,0.796619304,Q9BPX6,0.000176034,Q96HA1,0.0000615,Q9UPG8,0.0000602,O43929,0.0000366
Q6GMV3,0.178321288,Q96I15,0.003071553,Q6W2J9,0.000128535,Q8N5M4,0.002174085,C9JXC6,0.0000021,,,Q8IX21,0.00000793,P09601,0.796666883,O75629,0.000176239,Q13595,0.0000617,Q86X55,0.0000602,Q9H0R1,0.0000366
Q6GPH4,0.000107902,Q96I23,0.000907022,Q969Q4,0.000128567,Q8N5N7,0.000504372,O15392,0.00000211,,,Q8IX94,0.0000397,Q86TI2,0.796823134,Q9Y2H0,0.000176383,Q9NRN9,0.0000618,O00560,0.0000603,Q9Y5B8,0.0000366
Q6GQQ9,0.233927574,Q96I24,0.003066744,Q7Z624,0.00012867,Q8N5P1,0.000153878,Q05315,0.00000212,,,Q8IXB1,0.000639756,P35914,0.796914587,Q86TW2,0.000176554,P30499,0.0000619,Q6ZW49-1,0.0000603,P62241,0.0000366
Q6GTS8,3.58E-05,Q96I25,0.002100118,Q96P31,0.000129211,Q8N5R6,0.0000759,Q7Z5L2-2,0.00000212,,,Q8IXH6,0.0000401,O75844,0.797015556,Q8NBF2,0.000176626,Q12851,0.0000619,Q5T5C0,0.0000603,O43189-2,0.0000367
Q6GTX8,0.209385099,Q96I51,0.000544717,Q8IWZ3-6,0.000129432,Q8N5S1,0.0000066,Q86YH6,0.00000212,,,Q8IXI1,0.000627264,Q9Y2B0,0.797208989,P53365,0.000176647,Q9H0E2,0.000062,P11474,0.0000604,O75369-8,0.0000367
Q6GV28,9.69E-06,Q96I59,0.000503113,Q13491-4,0.00013006,Q8N5W9,0.000263695,Q6NXR4,0.00000213,,,Q8IXI2,0.001255055,Q8NBX0,0.797407928,Q7L099-3,0.000176819,O95873,0.0000621,O43295,0.0000604,Q9UN86-2,0.0000367
Q6GYQ0,0.214239707,Q96I76,4.12E-05,Q8NC42,0.000130766,Q8N5X7,0.000587289,O15079,0.00000213,,,Q8IXJ6,0.000234219,P23497,0.797435317,P16150,0.000177124,P00167,0.0000622,Q96RQ9,0.0000604,Q9BYJ0,0.0000367
Q6H8Q1,1.06E-05,Q96I99,0.004671701,Q93077,0.000131278,Q8N5Y8,0.0000974,Q8N954,0.00000214,,,Q8IXK0,0.000313037,Q9P258,0.797445789,O95479,0.000177168,Q9UM82,0.0000622,P41218,0.0000605,Q9NRN7,0.0000367
Q6H9L7,8.05E-06,Q96IG2,0.000121316,Q8TB61,0.000131499,Q8N661,0.000568399,O15554,0.00000214,,,Q8IXK2,0.000202945,Q5TCU3,0.797503052,Q96KP6-3,0.00017718,Q9BVK8,0.0000622,Q96DT0,0.0000605,Q92599,0.0000367
Q6I9Y2,0.232382822,Q96II8,0.000606584,Q96S94,0.000132294,Q8N668,0.000781641,Q9GZX9,0.00000214,,,Q8IXL6,0.00000491,Q14157,0.797605503,A0A0D9SG88,0.000177249,Q01970,0.0000623,Q86W34,0.0000605,Q96FE7,0.0000368
Q6IA17,0.315044638,Q96IJ6,0.001227171,Q15361,0.000132587,Q8N684,0.002332879,Q9H7P6,0.00000215,,,Q8IXM2,0.008445243,P49902,0.797647967,Q9UKD1,0.00017727,O75379,0.0000623,P62277,0.0000605,Q15758,0.0000368
Q6IA69,0.162406805,Q96IK1,0.00018343,Q9Y2W2,0.000132603,Q8N697,0.001580095,Q9HB21,0.00000216,,,Q8IXM3,0.001010055,A0A2R8YFK9,0.797707797,Q00535,0.000177345,D6RF30,0.0000623,Q13952,0.0000606,Q13501,0.0000368
Q6IA86,0.235364398,Q96IQ9,0.000431067,P20061,0.000132652,Q8N6G6,0.00000656,Q02846,0.00000217,,,Q8IXM6,0.002751245,A0A0C4DG89,0.797785789,O95716,0.000177511,P48047,0.0000623,P02760,0.0000607,Q15596,0.0000368
Q6IAA8,0.179713458,Q96IS3,4.88E-06,Q92570,0.000133445,Q8N6H7,0.001279176,O75534-2,0.00000218,,,Q8IXM7,0.000012,O75563,0.797832798,A6NLH6,0.00017769,P55789,0.0000624,O60759,0.0000607,Q96KA5,0.0000368
Q6IAN0,0.198910153,Q96IU2,1.82E-05,Q9HCJ0-2,0.000134045,Q8N6I1,0.000115969,O94956,0.00000218,,,Q8IXQ4,0.003730831,O14964,0.797957319,O75607,0.000177866,Q9NVG8,0.0000624,Q53EZ4,0.0000609,P52788,0.0000369
Q6IBS0,0.206304255,Q96IU4,0.018038104,Q8WW33,0.000134927,Q8N6L1,0.000584303,Q99574,0.00000218,,,Q8IXQ6,0.000591287,P63218,0.798032824,Q9BYN8,0.000178142,K7ENG2,0.0000624,Q14592-2,0.0000609,Q6PCB5,0.0000369
Q6IC98,0.000239084,Q96IV0,0.000192427,Q7Z3B3,0.000135018,Q8N6M6,0.00000359,Q12893,0.00000218,,,Q8IXR5,0.00000061,O43252,0.798041186,P17405,0.000178172,Q9NVP1,0.0000625,Q9Y3B8,0.0000609,Q53HC5,0.0000369
Q6ICG6,0.183616885,Q96IX5,0.005079226,P15735,0.000135079,Q8N6N3,0.00024473,Q96RT8,0.00000218,,,Q8IXS2,0.0000216,Q9Y2Z0-2,0.798044172,Q96EX1,0.000178362,O75943,0.0000626,Q8NF99,0.0000613,Q9BW72,0.0000369
Q6ICL3,0.0004587,Q96IY1,0.000621394,Q96RP9-2,0.00013517,Q8N6N6,0.0000904,Q9BRP4,0.00000219,,,Q8IXS8,0.000102233,Q460N5-1,0.798062591,Q9UBP6,0.000178391,P46060,0.0000627,A0A0A0MR14,0.0000615,Q9UQL6,0.000037
Q6IE81,0.000104524,Q96IZ7,0.000594209,P48740,0.000135669,Q8N6Q8,0.000015,P29692-3,0.0000022,,,Q8IXT2,0.000234226,O15127,0.798099312,Q9ULT8,0.000178956,P28074,0.0000627,Q96ST2,0.0000616,Q13310-3,0.000037
Q6IEG0,5.27E-05,Q96J01,0.000962459,Q14331,0.000135806,Q8N6R0,0.000129628,Q8WV99,0.00000221,,,Q8IXT5,0.000941534,Q9H845,0.798171962,Q5T013,0.000179233,P32320,0.0000627,O75143,0.0000616,Q86XK3-2,0.0000371
Q6IN84,0.209693296,Q96J66,9.46E-05,Q9Y3F4-2,0.00013627,Q8N6S5,0.000598161,O14974-4,0.00000222,,,Q8IXU6,0.0000904,P50454,0.798243997,Q9HCK5,0.000179418,Q9Y266,0.0000627,P41252,0.0000616,Q15262,0.0000371
Q6IN85,0.356130416,Q96J84,1.13E-05,P46952,0.000136336,Q8N6T3,0.002239261,Q8N2K1-3,0.00000222,,,Q8IXW5,0.000343919,Q6P996-4,0.798328388,O14626,0.000179561,O14735,0.0000627,P06213,0.0000617,Q02809,0.0000371
Q6IPR3,0.204304044,Q96J92,0.00023003,Q9BQ24,0.000136366,Q8N6V9,0.00000923,B8ZZU6,0.00000223,,,Q8IXY8,0.000026,Q14008-2,0.798429897,Q6ZS72,0.000179699,Q9UQ16,0.0000628,P78383-2,0.0000617,P43007,0.0000371
Q6IPT4,6.98E-06,Q96JB2,0.000115023,Q9NSU2-3,0.000136407,Q8N752,0.0000797,A2AJT9,0.00000224,,,Q8IXZ2,0.0000315,Q99829,0.798452085,Q9Y266,0.000179818,Q01813,0.0000629,Q14240,0.0000617,Q9H4B6,0.0000372
Q6IPX3,0.000434882,Q96JB5,0.001586134,E9PLH5,0.000136591,Q8N755,0.00078584,Q9H6E4,0.00000226,,,Q8IXZ3,0.00000923,P10515,0.79852475,Q14005-2,0.000180152,Q9GZM5,0.000063,Q9Y6J0,0.0000618,P52815,0.0000372
Q6IQ16,5.76E-06,Q96JB6,1.05E-05,Q9P0K7,0.000137168,Q8N766,0.000203247,Q86V88,0.00000227,,,Q8IY17,0.000282282,Q14683,0.798532613,Q9C0C9,0.000180452,Q9NZV1,0.0000631,P15813,0.0000618,P16435,0.0000372
Q6IQ19,0.203933867,Q96JC1,0.00057711,Q13671,0.000137182,Q8N782,0.0000462,O14526,0.00000227,,,Q8IY18,0.001102125,Q00688,0.79856895,P06331,0.000180584,Q8N183,0.0000631,P17275,0.0000619,Q9P2K3,0.0000372
Q6IQ26,5.34E-07,Q96JC9,3.77E-05,Q12866,0.00013777,Q8N7F7,0.000104143,Q8IXR9,0.00000228,,,Q8IY21,0.000426314,P12931,0.798607517,Q14232,0.000181029,Q9BY15,0.0000631,P31943,0.0000619,O00743,0.0000372
Q6IQ49,0.228578237,Q96JD6,0.000360113,Q8TAD7,0.000138089,Q8N7H5,0.00033315,Q96DU7,0.00000228,,,Q8IY37,0.000482903,Q8N163,0.798661907,O60343,0.000181049,P30508,0.0000632,H0YNA2,0.0000621,Q9Y5Y4,0.0000373
Q6IQ55,3.43E-07,Q96JG6,0.000365662,O14786,0.000139207,Q8N7K0,0.00000629,O43181,0.00000229,,,Q8IY47,0.0000652,A0A2R8Y6Y7,0.798715287,Q7L5N7,0.000181104,Q13352,0.0000632,Q13098,0.0000621,Q70Z53,0.0000373
Q6IS14,0.015030137,Q96JH7,0.000624108,Q7Z7A4,0.000139209,Q8N7M2,0.0000706,Q9UKV0-6,0.00000229,,,Q8IY57,0.00055403,O75608,0.798717605,Q8NFZ0,0.000181165,Q96S66,0.0000632,Q9ULL1,0.0000622,Q9UJT0,0.0000374
Q6ISS4,6.83E-05,Q96JI7,2.65E-05,P01374,0.000139244,Q8N7N1,0.0000912,Q8NEZ5,0.00000231,,,Q8IY63,0.0000389,P53992,0.798768953,P49419-2,0.000181237,Q9H3F6,0.0000633,Q13177,0.0000622,P50452,0.0000374
Q6J4K2,0.205303041,Q96JJ3,0.001857692,Q7Z2X4-4,0.000139406,Q8N7P1,0.0000309,Q5JTW2,0.00000235,,,Q8IY81,0.001945665,Q9Y3B3,0.798875308,Q7Z4V5-2,0.000181269,Q9P1U0,0.0000633,O43395,0.0000623,J3KTN0,0.0000374
Q6J9G0,0.000136565,Q96JJ7,0.001680376,Q15032-2,0.000139449,Q8N7X0,0.0000272,Q5T9S5,0.00000235,,,Q8IY82,0.0000832,Q8NE71,0.798897099,Q8N3X1-2,0.000181431,P21953,0.0000633,Q96Q05,0.0000623,Q13422,0.0000375
Q6JBY9,0.250335635,Q96JM2,3.09E-05,E9PJ04,0.000139579,Q8N7X1,0.0000717,Q9Y275,0.00000236,,,Q8IY92,0.000111772,Q92688-2,0.799051669,Q9UN86-2,0.000181634,Q9ULE0,0.0000633,Q13423,0.0000623,F6XWZ1,0.0000375
Q6JEL2,6.07E-06,Q96JM3,0.000577884,O95977,0.000139655,Q8N7Z2,0.0000144,Q96HD1,0.00000237,,,Q8IY95,0.00152012,P79483,0.799081221,Q7Z6M4,0.000181886,O75818,0.0000634,Q8N1G4,0.0000623,Q53HC9,0.0000375
Q6JQN1,0.214840346,Q96JP5,0.000360714,Q9NYT6,0.00013976,Q8N806,0.0000756,Q99766,0.00000238,,,Q8IYB3,0.003788052,Q7Z3J2,0.799210215,P10643,0.000181904,Q86WR0,0.0000634,O14980,0.0000623,Q9H1K0,0.0000375
Q6K0P9,0.201204667,Q96JY6,0.002824218,Q9H4G0,0.000139949,Q8N807,0.0000358,P48061,0.00000239,,,Q8IYB4,0.00000214,O43760,0.799242782,Q9Y5L4,0.000182009,M0R2E2,0.0000634,P0CG12,0.0000623,P24752,0.0000376
Q6KB66,0.001255055,Q96K17,0.00435776,P06681,0.000139982,Q8N819,0.0000591,H0YJH7,0.00000239,,,Q8IYB5,0.002464332,Q9NQR4,0.799244904,P24386,0.000182027,P09467,0.0000634,P52788,0.0000624,Q9BSL1,0.0000376
Q6KC79,0.238778518,Q96K19,0.000325713,Q9H9J2,0.000140247,Q8N823,0.00000141,P25208,0.0000024,,,Q8IYB7,0.000352667,Q8WVM8,0.799266974,O75152,0.000182094,Q8WWN9,0.0000634,Q96PD4,0.0000624,Q96HR3,0.0000376
Q6KCM7,0.272766656,Q96K21,0.000127413,Q8N8A2,0.000140356,Q8N841,0.0000123,P22531,0.00000241,,,Q8IYB8,0.000801463,O76094,0.799269128,Q9NRL2,0.00018214,P27469,0.0000635,Q9HCE5,0.0000625,Q8IV32,0.0000376
Q6KF10,1.27E-05,Q96K49,0.00020943,Q8NF91-4,0.000140738,Q8N883,0.000116732,A2RUC4,0.00000241,,,Q8IYD1,0.000575198,H3BPE7,0.79929931,Q09328,0.000182391,Q8N5J2,0.0000635,Q8TDY2,0.0000625,Q15785,0.0000377
Q6L8Q7,0.247261604,Q96K62,0.000174334,Q8WUK0,0.000141437,Q8N884,0.000232645,Q96K12,0.00000241,,,Q8IYD8,0.0000058,Q15257,0.79931422,Q9H900,0.000182438,Q8N884,0.0000635,P62330,0.0000625,Q9NVH2,0.0000377
Q6MZM0,1.91E-07,Q96K76,0.00358587,K7ER74,0.00014226,Q8N895,0.0000322,P49407-2,0.00000241,,,Q8IYH5,0.0000587,Q8N766-2,0.799350503,Q6P161,0.000182652,A6NC98,0.0000635,O95498,0.0000627,O94811,0.0000378
Q6MZP7,0.000137123,Q96KA5,0.000171956,Q8N697,0.000142366,Q8N8A2,0.002801894,J3KNL6,0.00000241,,,Q8IYI6,0.000673437,P22234,0.799353051,O43913,0.000182961,E5RHG9,0.0000636,O75828,0.0000628,P01877,0.0000378
Q6MZT1,0.000104906,Q96KC2,0.000122207,Q9UKM9-2,0.000142466,Q8N8A6,0.0000394,Q9UK97,0.00000242,,,Q8IYI8,0.00000301,A0A087WUT6,0.799363458,E9PL40,0.000183009,Q07889,0.0000636,Q969Y2,0.0000628,Q9NQR4,0.0000378
Q6MZW2,1.87E-06,Q96KC8,0.00017418,P34910,0.000142571,Q8N8D1,0.0000504,P20340-2,0.00000244,,,Q8IYJ1,0.0000572,P53990-2,0.799498904,F5H0B0,0.000183055,Q9UGJ1,0.0000636,K7EKQ2,0.0000629,Q9H7B4,0.0000379
Q6N021,3.30E-05,Q96KG9,0.000578761,Q5HYJ3,0.000142572,Q8N8E3,0.000000992,O94919,0.00000244,,,Q8IYJ3,0.001478507,O95372,0.799559372,P82912,0.00018327,Q9NVU0,0.0000637,Q5SRH9-4,0.0000629,O75955,0.0000379
Q6N022,1.21E-05,Q96KK5,0.021934844,Q96RN5,0.000142809,Q8N8K9,0.0000469,Q9Y289,0.00000245,,,Q8IYL3,0.000485079,H0Y8X4,0.799599299,K7ENG2,0.000183442,Q9BTT0,0.0000637,Q6ZUT6,0.000063,H0YL83,0.0000379
Q6N069,0.221093289,Q96KN3,0.000104143,P15880,0.000142925,Q8N8L2,0.0000122,Q7RTV5,0.00000245,,,Q8IYM0,0.0000215,Q9Y2T2,0.799702856,Q8NE62,0.000183571,Q53FZ2,0.0000637,Q07866-3,0.000063,C9JHW1,0.0000379
Q6NS38,0.20867218,Q96KN7,8.01E-06,Q14814-4,0.0001431,Q8N8M0,0.0000988,O75683,0.00000246,,,Q8IYM2,0.00000404,Q96P48,0.799709494,Q9BS18,0.000183738,Q8IWB1,0.0000638,O94925,0.000063,P50461,0.000038
Q6NSI3,5.53E-06,Q96KN9,2.62E-05,Q86XL3,0.000143121,Q8N8Q3,0.00000973,P01766,0.00000246,,,Q8IYM9,0.001305192,O75323,0.799736804,P01568,0.000184114,P80108,0.0000638,O43819,0.0000631,A0A0C4DGJ8,0.000038
Q6NSI4,2.71E-06,Q96KP1,0.000606707,Q8WV93,0.000143324,Q8N8V2,0.000102235,Q53R41,0.00000247,,,Q8IYQ7,0.000589142,Q9BT09,0.799738051,Q7Z5R6,0.000184375,P23497,0.0000639,Q8TCJ2,0.0000631,Q92581-2,0.000038
Q6NSJ0,5.84E-05,Q96KP4,0.008422012,Q99435-3,0.000143329,Q8N8Y5,0.003814755,P62841,0.00000249,,,Q8IYR2,0.00000061,P42768,0.799755414,O43296,0.000184646,Q9NS23,0.0000639,P03989,0.0000631,Q96SB3,0.0000381
Q6NSJ2,1.79E-05,Q96KR1,0.000857438,Q96DC9,0.000143347,Q8N8Z6,0.0000168,P32780,0.00000251,,,Q8IYS1,0.000110384,Q13409,0.799760558,P13010,0.000184764,P43251,0.000064,Q8WWA1,0.0000632,P36954,0.0000381
Q6NSX1,1.72E-06,Q96KR6,0.00025881,P41218,0.000143393,Q8N8Z8,0.0000045,Q05195,0.00000251,,,Q8IYS2,0.000199137,A0A2R8Y851,0.799804455,Q9Y2Z2-4,0.00018499,P39060,0.0000641,O95568,0.0000632,Q9NQS5,0.0000381
Q6NT16,9.89E-05,Q96KS0,3.26E-05,P18847,0.000143469,Q8N960,0.000337322,Q96H35,0.00000252,,,Q8IYS4,0.0000523,Q9UKK3,0.799839594,D6R9B6,0.000185172,Q15291,0.0000641,Q9UGJ0,0.0000633,Q9NUY8,0.0000381
Q6NT55,0.003654385,Q96KV7,2.24E-05,O75530,0.00014382,Q8N972,0.0000087,Q9Y4G2,0.00000253,,,Q8IYT2,0.0000356,Q13740-2,0.799857549,G3V394,0.000185257,Q96S55,0.0000643,O95361,0.0000635,A0A087X0M8,0.0000381
Q6NT76,0.000275768,Q96L03,0.000156786,Q8IZQ5,0.000144369,Q8N983,0.000488218,B9ZVU2,0.00000254,,,Q8IYT3,0.0000207,P50135,0.799985582,C9J473,0.000185265,Q9NVE7,0.0000643,Q96GD4,0.0000636,Q9NPA8,0.0000381
Q6NTE8,0.20380772,Q96L21,0.004882887,Q15011,0.000144465,Q8N9F8,0.00000187,H0Y8W3,0.00000254,,,Q8IYU2,0.0000133,B4DR80,0.800008442,Q969R5,0.000185872,Q8N8S7,0.0000643,Q96GA7,0.0000636,P32942,0.0000381
Q6NUI2,2.51E-06,Q96L34,7.93E-05,Q68D10,0.000144857,Q8N9H8,0.00000473,Q9BTA9,0.00000254,,,Q8IYU8,0.000260301,P61221,0.800025909,P83916,0.000186277,Q9UHQ9,0.0000643,Q9BY44,0.0000637,Q96EZ8-2,0.0000382
Q6NUK1,0.241169128,Q96L46,0.00148394,O75376,0.000144874,Q8N9I0,0.00000275,A0A087WW89,0.00000256,,,Q8IYV9,0.000115206,O14949,0.800123694,O95379,0.000186403,Q9BZK7,0.0000643,E9PGF5,0.0000637,P52564,0.0000382
Q6NUK4,0.000307256,Q96L92,0.000449845,Q6GYQ0,0.000145739,Q8N9K5,0.00000244,P49674,0.00000256,,,Q8IYW2,0.00000118,P80217,0.800223954,Q9C0K0,0.000186444,Q86WV1,0.0000643,Q9P1Z0,0.0000638,Q9BZL4,0.0000382
Q6NUM6,6.14E-05,Q96L93,4.12E-06,Q8NET5,0.000146105,Q8N9N2,0.0000931,P42330,0.00000257,,,Q8IYW5,0.000156405,A0A0A0MT83,0.800237532,Q96BI3,0.000186532,P22894,0.0000643,Q9H9J2,0.0000638,O75154,0.0000382
Q6NUM9,0.206119266,Q96LI5,0.00028424,Q6ZNK6,0.000146621,Q8N9N5,0.001712619,H7BZB3,0.00000257,,,Q8IZ07,0.002869186,O43504,0.800301053,Q5VUM1,0.000186534,Q6UN15,0.0000645,Q12905,0.0000639,Q9HAH1,0.0000383
Q6NUQ1,0.217407749,Q96LI9,5.57E-05,P51946,0.000146937,Q8N9N7,0.000993518,Q9Y664,0.00000258,,,Q8IZ21,0.000151338,Q6YP21-3,0.800303809,O60828,0.000186577,P68871,0.0000645,A0A0D9SG88,0.0000642,O14713,0.0000383
Q6NUQ4,0.166731831,Q96LJ7,0.000845367,Q15910,0.000147378,Q8N9N8,0.001088664,Q6ZVX7,0.00000258,,,Q8IZ26,0.00027657,Q9Y315,0.800320363,Q9Y320,0.000186783,Q9BUE0,0.0000646,P34896,0.0000643,Q7Z5R6,0.0000383
Q6NUT2,2.00E-05,Q96LR5,0.000362188,Q9HC78,0.000147583,Q8N9Q2,0.00023003,E7EPN9,0.00000258,,,Q8IZ40,0.00010338,Q5VZZ6,0.800346782,P08473,0.000186918,A6NK06,0.0000646,P34913,0.0000643,Q9BRX9,0.0000384
Q6NUT3,2.25E-06,Q96LW7,0.001983673,H7BYY1,0.000147622,Q8N9R8,0.0000977,O00175,0.0000026,,,Q8IZ52,0.0000492,P61626,0.800437579,Q96DI7,0.000187241,P54922,0.0000646,O14498,0.0000644,O95298,0.0000384
Q6NV75,5.80E-06,Q96LZ3,0.000221256,P59768,0.000147865,Q8N9S9,0.0000397,Q5EBL4-2,0.00000261,,,Q8IZ69,0.0000927,Q9HB90,0.800526045,Q9NWU5,0.000187269,Q96EQ0,0.0000646,Q5VWC4,0.0000645,Q13177,0.0000384
Q6NVY1,0.369628627,Q96M02,4.84E-05,Q05940,0.000148072,Q8N9T8,0.000853749,O75460,0.00000264,,,Q8IZ73,0.00076296,P55735,0.800537427,P29466,0.000187306,A0A087WX18,0.0000647,A9Z1X7,0.0000645,O75716,0.0000384
Q6NW29,0.213563767,Q96M27,0.002316525,Q96FJ2,0.000148077,Q8N9U0,0.000237571,Q9HBM6,0.00000265,,,Q8IZ81,0.00113383,P47985,0.800571679,Q7Z6Z7,0.000187316,P02452,0.0000649,Q8N5M1,0.0000646,Q9BZD4,0.0000385
Q6NW34,0.217891069,Q96M29,3.04E-05,Q9UBS8,0.000148144,Q8N9V2,0.00000572,Q9H8U3,0.00000266,,,Q8IZ83,0.005317114,Q8IXQ6-2,0.800574235,Q9NWX5,0.000187637,Q9Y312,0.0000649,O75382,0.0000646,Q9H7L9,0.0000386
Q6NX45,9.04E-06,Q96M69,1.69E-05,Q8IWR0,0.00014817,Q8N9V3,0.000375877,X6REB3,0.00000267,,,Q8IZD2,0.000180819,O60888-3,0.800574701,Q9H0E9-2,0.000187741,M0R019,0.0000649,B6A8C7,0.0000649,P14222,0.0000386
Q6NXE6,0.223842964,Q96M86,1.97E-05,Q9NVP2,0.000148439,Q8N9W4,0.0000102,P55774,0.00000269,,,Q8IZD4,0.000198244,Q9UKG1,0.800613943,Q8N5G0-2,0.000187796,P22735,0.0000649,Q92889,0.000065,P08236,0.0000387
Q6NXR0,4.77E-06,Q96MC2,0.000155261,Q702N8,0.00014877,Q8N9W8,0.0000167,Q8N6Q8,0.00000269,,,Q8IZD9,0.0000664,P52789,0.800632435,P29965,0.000187972,Q9H0Z9,0.0000649,O60504-2,0.000065,Q96N11,0.0000387
Q6NXR4,0.199531526,Q96MC4,5.49E-05,Q9H6R4,0.000149215,Q8N9Y4,0.0000296,P30305-4,0.00000269,,,Q8IZE3,0.000318914,Q8TCJ2,0.8006665,Q93084,0.000188023,Q15036,0.0000649,Q13137-4,0.000065,Q7Z7M8,0.0000388
Q6NXT1,0.205624953,Q96MC5,0.000431067,Q9BSM1,0.000150043,Q8N9Z2,0.000168994,Q96II8,0.00000269,,,Q8IZF0,0.000000191,P02795,0.800668358,P26232-5,0.000188096,B5MD23,0.000065,P68366-2,0.000065,P11766,0.0000388
Q6NXT2,0.032310979,Q96MC6,2.11E-05,Q6P3S6,0.000150062,Q8NA61,0.0000239,F5H7G1,0.00000272,,,Q8IZF3,0.0000454,A0A0G2JS53,0.800674271,P28838,0.000188146,Q96FV2,0.000065,Q8IWT3,0.0000651,Q96EY9,0.0000388
Q6NXT4,0.300988862,Q96ME1,9.16E-05,Q12849,0.00015047,Q8NAB2,0.00000114,Q9Y5K5-2,0.00000273,,,Q8IZF5,0.0000116,B8ZZQ6,0.800689359,Q96BT7,0.000188254,Q9NRP4,0.0000651,Q9NYV4,0.0000652,P51857,0.0000389
Q6NXT6,0.196252299,Q96ME7,0.001580153,Q14161-5,0.0001507,Q8NAP3,0.0000191,Q9Y2I7,0.00000273,,,Q8IZF6,0.0000117,P16284,0.800690256,P80108,0.000188394,Q13232,0.0000651,O14974,0.0000655,Q9BWN1,0.0000389
Q6NY19,0.00018698,Q96MF6,4.15E-05,Q9BV94,0.000150884,Q8NAV1,0.001557564,Q9BWG4,0.00000273,,,Q8IZH2,0.000296422,Q14444-2,0.800700376,Q6IPU0,0.000188512,Q9P2S5,0.0000652,O60447,0.0000655,P12830,0.0000391
Q6NYC1,0.213049923,Q96MF7,0.000730234,J3KPF0,0.000151217,Q8NB16,0.000575524,J3QR46,0.00000273,,,Q8IZL9,0.000121309,P26368-2,0.800703319,P27635,0.000188536,D6RD58,0.0000652,Q9UM22,0.0000656,A0A0B4J269,0.0000391
Q6NYC8,0.250252657,Q96MG7,0.000599662,E9PL24,0.000151332,Q8NB25,0.0000192,Q29718,0.00000274,,,Q8IZN3,0.00010071,P50416,0.800739078,Q96KP1,0.000188561,Q14213,0.0000652,P45880,0.0000656,Q9UQV4,0.0000391
Q6NZ63,3.43E-06,Q96MH7,6.22E-06,Q92800,0.000151908,Q8NB37,0.002105982,O60664-2,0.00000274,,,Q8IZP0,0.002066654,P48739,0.800743114,Q8WZ64,0.000188837,Q8NCE2-2,0.0000652,Q14135,0.0000657,Q15166,0.0000391
Q6NZ67,0.000591695,Q96MI9,3.52E-05,A0A087WXR2,0.000151929,Q8NB46,0.000758677,Q96MF6,0.00000275,,,Q8IZQ1,0.00000331,Q8TAT6,0.80077505,A0A0C4DGZ0,0.000188841,Q8TCT7,0.0000653,Q9Y4X5,0.0000658,P42167,0.0000392
Q6NZY4,0.179617905,Q96MM3,0.000381476,Q969F1,0.000152154,Q8NB50,0.0000259,Q8ND30,0.00000275,,,Q8IZQ5,0.014268162,O60313-2,0.800806455,Q9BRQ0,0.000188846,Q86T03-2,0.0000653,O95696-2,0.0000658,Q9NX63,0.0000392
Q6P087,0.201586278,Q96MN2,4.73E-05,Q92542,0.000152293,Q8NB66,0.00000454,Q92844,0.00000275,,,Q8IZQ8,0.0000127,P20592,0.800850191,O75113,0.000189123,Q9UBP6,0.0000654,P34897,0.0000658,Q9H074,0.0000392
Q6P093,6.56E-06,Q96MT7,0.000111391,Q5TGY3,0.000152362,Q8NB78,0.0000927,O75594,0.00000276,,,Q8IZT6,0.00000409,O15247,0.800864493,O60911,0.000189239,Q15084,0.0000654,Q96L93,0.0000659,Q9UKM9-2,0.0000392
Q6P0A1,4.54E-06,Q96MU7,0.002197299,P01308,0.000152828,Q8NB90,0.000509855,P19447,0.00000278,,,Q8IZU0,0.0000034,P22087,0.80088551,Q9Y6E2,0.000189476,Q86TA1,0.0000654,P19623,0.000066,Q15120,0.0000392
Q6P0Q8,4.92E-05,Q96MW1,0.000128472,H3BPS8,0.000153333,Q8NBF2,0.000167958,F8VR69,0.00000281,,,Q8IZU8,0.00000217,Q96CV9,0.800891805,A0A087WWQ5,0.000189477,P0C870,0.0000656,Q9BQ15,0.000066,Q9Y2G5,0.0000392
Q6P158,0.320316599,Q96MW5,0.000411234,P15169,0.000154611,Q8NBF6,0.000291466,P08651-4,0.00000281,,,Q8IZU9,0.00002,P20020-1,0.800924658,Q86U42,0.000189623,Q9NVH0,0.0000656,Q5VXI4,0.000066,Q9NWS8,0.0000392
Q6P161,0.158131059,Q96MX6,0.000365072,Q7Z3Q1,0.000154859,Q8NBH2,0.0000416,Q92563,0.00000281,,,Q8IZX4,0.0000629,Q13247,0.801206379,P09486,0.00018977,Q86YS6,0.0000657,P34096,0.0000661,P14784,0.0000393
Q6P179,0.249171373,Q96N11,0.000272596,Q9NYU2,0.000155086,Q8NBI5,0.0000549,Q765P7,0.00000282,,,Q8IZY2,0.0000216,Q99873-3,0.801238682,Q6SZW1,0.000190052,P62891,0.0000658,P54132,0.0000661,Q30201,0.0000393
